ID,ID_old,fullid,POINT_X,POINT_Y,id,season,year,dist_final_95kernel,dist_raw,dist_final
1,10,Backpans Wet 2006,536894.2927,7894148.805,Backpans,Wet,2006,2590.2422,2679.704,2679.704
3,11,Backpans Wet 2007,537206.634,7893008.454,Backpans,Wet,2007,4686.6349,2073.8983,2073.8983
5,12,Backpans Wet 2008,538140.257,7893841.32,Backpans,Wet,2008,4843.2759,817.3166,817.3166
7,13,Backpans Wet 2009,537009.5212,7891728.051,Backpans,Wet,2009,2050.6615,1892.7865,1892.7865
9,14,Backpans Wet 2010,535697.1051,7891865.964,Backpans,Wet,2010,2238.0935,660.4331,660.4331
11,15,Backpans Wet 2011,536489.273,7892561.558,Backpans,Wet,2011,2342.6225,702.411,702.411
13,16,Backpans Wet 2012,536541.4275,7891203.667,Backpans,Wet,2012,3966.0073,1699.6466,1699.6466
15,17,Backpans Wet 2014,533511.056,7893294.363,Backpans,Wet,2014,2509.2815,1730.1695,1730.1695
17,18,Backpans Wet 2015,535505.6366,7893080.764,Backpans,Wet,2015,5325.7118,5154.2113,5154.2113
19,19,Backpans Wet 2016,527133.6069,7904113.39,Backpans,Wet,2016,,,
2,1,Backpans Dry 2006,535508.9531,7891854.977,Backpans,Dry,2006,5512.0181,2052.4694,2052.4694
4,2,Backpans Dry 2007,535724.2814,7894458.863,Backpans,Dry,2007,4862.693,2493.6514,2493.6514
6,3,Backpans Dry 2008,538378.4934,7893059.495,Backpans,Dry,2008,5667.6341,1909.6671,1909.6671
8,4,Backpans Dry 2009,537455.3803,7893567.575,Backpans,Dry,2009,3022.5014,2446.8376,2446.8376
10,5,Backpans Dry 2010,536218.3609,7892271.506,Backpans,Dry,2010,2286.0792,396.8926,396.8926
12,6,Backpans Dry 2011,536149.8212,7891946.616,Backpans,Dry,2011,3223.7797,839.8389,839.8389
14,7,Backpans Dry 2012,534986.8043,7891890.649,Backpans,Dry,2012,,2036.7245,
16,8,Backpans Dry 2014,532427.2565,7894643.017,Backpans,Dry,2014,2662.8862,3452.1093,3452.1093
