FullID,lion,season,year,NP,otherPA,nonPA
Backpans Dry 2006,Backpans,Dry,2006,0.445037352,0.554962648,0.00E+00
Backpans Dry 2007,Backpans,Dry,2007,0.78075283,0.21924717,0.00E+00
Backpans Dry 2008,Backpans,Dry,2008,0.497874296,0.474052938,2.81E-02
Backpans Dry 2009,Backpans,Dry,2009,0.698403141,0.263484415,3.81E-02
Backpans Dry 2010,Backpans,Dry,2010,0.998574779,0.001425221,0.00E+00
Backpans Dry 2011,Backpans,Dry,2011,0.978813669,0.021186331,0.00E+00
Backpans Dry 2012,Backpans,Dry,2012,0.912252456,0.087747544,0.00E+00
Backpans Dry 2014,Backpans,Dry,2014,0.745448782,0.254551218,0.00E+00
Backpans Dry 2015,Backpans,Dry,2015,0.7961131,0.2038869,0.00E+00
Backpans Wet 2006,Backpans,Wet,2006,0.566061131,0.433938869,0.00E+00
Backpans Wet 2007,Backpans,Wet,2007,0.705989552,0.294010448,0.00E+00
Backpans Wet 2008,Backpans,Wet,2008,0.516299756,0.483700244,0.00E+00
Backpans Wet 2009,Backpans,Wet,2009,0.891430521,0.108569479,0.00E+00
Backpans Wet 2010,Backpans,Wet,2010,0.89513928,0.10486072,0.00E+00
Backpans Wet 2011,Backpans,Wet,2011,1,0,0.00E+00
Backpans Wet 2012,Backpans,Wet,2012,0.891586251,0.098558702,9.86E-03
Backpans Wet 2014,Backpans,Wet,2014,0.867635982,0.132364018,0.00E+00
Backpans Wet 2015,Backpans,Wet,2015,0.767718131,0.232281869,0.00E+00
Backpans Wet 2016,Backpans,Wet,2016,0.870573643,0.129426357,0.00E+00
Bhubesi Dry 2010,Bhubesi,Dry,2010,0.0202201,0.899186357,8.06E-02
Bhubesi Dry 2011,Bhubesi,Dry,2011,0.628627326,0.267553693,1.04E-01
Bhubesi Dry 2012,Bhubesi,Dry,2012,0.764767223,0.235232777,0.00E+00
Bhubesi Dry 2013,Bhubesi,Dry,2013,0.959883911,0.040116089,0.00E+00
Bhubesi Dry 2015,Bhubesi,Dry,2015,0.776931145,0.157646882,6.54E-02
Bhubesi Wet 2011,Bhubesi,Wet,2011,0.326849775,0.579449438,9.37E-02
Bhubesi Wet 2012,Bhubesi,Wet,2012,0.796082555,0.203917445,0.00E+00
Bhubesi Wet 2013,Bhubesi,Wet,2013,0.975970824,0.024029176,0.00E+00
Bhubesi Wet 2016,Bhubesi,Wet,2016,0.994427739,0.005572261,0.00E+00
Cecil Dry 2011,Cecil,Dry,2011,0.962656053,0.037343947,0.00E+00
Cecil Dry 2012,Cecil,Dry,2012,0.894015209,0.105984791,0.00E+00
Cecil Dry 2015,Cecil,Dry,2015,0.619765862,0.380234138,0.00E+00
Cecil Wet 2009,Cecil,Wet,2009,1,0,0.00E+00
Cecil Wet 2011,Cecil,Wet,2011,0.961073957,0.038926043,0.00E+00
Cecil Wet 2012,Cecil,Wet,2012,0.904371233,0.095628767,0.00E+00
Cecil Wet 2013,Cecil,Wet,2013,0.852260048,0.106905048,4.08E-02
Cecil Wet 2014,Cecil,Wet,2014,1,0,0.00E+00
Cecil Wet 2015,Cecil,Wet,2015,0.726335787,0.273664213,0.00E+00
Chikarubi Dry 2011,Chikarubi,Dry,2011,0.026685439,0.91564414,5.77E-02
Chikarubi Dry 2012,Chikarubi,Dry,2012,0.005181369,0.893084201,1.02E-01
Chikarubi Wet 2012,Chikarubi,Wet,2012,0.001757996,0.670785504,3.27E-01
Daniel Dry 2011,Daniel,Dry,2011,1,0,0.00E+00
Daniel Dry 2012,Daniel,Dry,2012,1,0,0.00E+00
Daniel Wet 2009,Daniel,Wet,2009,1,0,0.00E+00
Daniel Wet 2011,Daniel,Wet,2011,1,0,0.00E+00
Daniel Wet 2012,Daniel,Wet,2012,1,0,0.00E+00
Daniel Wet 2013,Daniel,Wet,2013,1,0,0.00E+00
Frisky Dry 2011,Frisky,Dry,2011,0.035021898,0.908211531,5.68E-02
Frisky Dry 2012,Frisky,Dry,2012,0,0.969363636,3.06E-02
Frisky Dry 2015,Frisky,Dry,2015,0,0.969925637,3.01E-02
Frisky Wet 2012,Frisky,Wet,2012,0.036399766,0.919203525,4.44E-02
Frisky Wet 2013,Frisky,Wet,2013,0.10644001,0.884539914,9.02E-03
Frisky Wet 2015,Frisky,Wet,2015,0.07438768,0.908971722,1.66E-02
Frisky Wet 2016,Frisky,Wet,2016,0,0.455414484,5.45E-01
Goose Dry 2006,Goose,Dry,2006,1,0,0.00E+00
Goose Dry 2007,Goose,Dry,2007,1,0,0.00E+00
Goose Dry 2008,Goose,Dry,2008,1,0,0.00E+00
Goose Dry 2011,Goose,Dry,2011,1,0,0.00E+00
Goose Dry 2013,Goose,Dry,2013,1,0,0.00E+00
Goose Wet 2006,Goose,Wet,2006,1,0,0.00E+00
Goose Wet 2007,Goose,Wet,2007,1,0,0.00E+00
Goose Wet 2008,Goose,Wet,2008,1,0,0.00E+00
Goose Wet 2009,Goose,Wet,2009,1,0,0.00E+00
Goose Wet 2014,Goose,Wet,2014,0.97226573,0.019416611,8.32E-03
Inkosikasi Dry 2007,Inkosikasi,Dry,2007,0.562645652,0.437354348,0.00E+00
Inkosikasi Dry 2008,Inkosikasi,Dry,2008,0.715223501,0.2847765,0.00E+00
Inkosikasi Dry 2009,Inkosikasi,Dry,2009,0.658541267,0.341458733,0.00E+00
Inkosikasi Dry 2012,Inkosikasi,Dry,2012,0.681630499,0.318369501,0.00E+00
Inkosikasi Wet 2008,Inkosikasi,Wet,2008,0.700599631,0.299400369,0.00E+00
Inkosikasi Wet 2009,Inkosikasi,Wet,2009,0.682126242,0.317873758,0.00E+00
Inkosikasi Wet 2012,Inkosikasi,Wet,2012,0.640981958,0.359018042,0.00E+00
Jericho Dry 2012,Jericho,Dry,2012,0.558572991,0,4.41E-01
Jericho Dry 2013,Jericho,Dry,2013,0.959704262,0.040295738,0.00E+00
Jericho Dry 2014,Jericho,Dry,2014,0.995476741,0.004523259,0.00E+00
Jericho Dry 2015,Jericho,Dry,2015,0.754703874,0.245296126,0.00E+00
Jericho Wet 2014,Jericho,Wet,2014,0.984403018,0.015596983,0.00E+00
Jericho Wet 2015,Jericho,Wet,2015,0.839456882,0.160543118,0.00E+00
Jericho Wet 2016,Jericho,Wet,2016,0.764096,0.235904,0.00E+00
Kakori Dry 2011,Kakori,Dry,2011,0.703202164,0.159413754,1.37E-01
Kakori Dry 2012,Kakori,Dry,2012,1,0,0.00E+00
Kakori Dry 2015,Kakori,Dry,2015,1,0,0.00E+00
Kakori Wet 2012,Kakori,Wet,2012,0.705467963,0.24489941,4.96E-02
Kakori Wet 2013,Kakori,Wet,2013,1,0,0.00E+00
Kakori Wet 2015,Kakori,Wet,2015,0.850953437,0.100787221,4.83E-02
Kakori Wet 2016,Kakori,Wet,2016,1,0,0.00E+00
Lucky Dry 2010,Lucky,Dry,2010,0.459571503,0.540428497,0.00E+00
Lucky Dry 2011,Lucky,Dry,2011,0.849946296,0.150052001,1.70E-06
Lucky Dry 2012,Lucky,Dry,2012,0.969366736,0.030633264,0.00E+00
Lucky Dry 2014,Lucky,Dry,2014,0.969273387,0.030726613,0.00E+00
Lucky Wet 2011,Lucky,Wet,2011,0.75269453,0.247301005,4.47E-06
Lucky Wet 2012,Lucky,Wet,2012,0.513917794,0.476660834,9.42E-03
Lucky Wet 2013,Lucky,Wet,2013,0.995307018,0.004692982,0.00E+00
Lucky Wet 2014,Lucky,Wet,2014,0.795711004,0.204288996,0.00E+00
Lucky Wet 2015,Lucky,Wet,2015,0.649380043,0.338840772,1.18E-02
NgamoUrchin Dry 2011,NgamoUrchin,Dry,2011,0.37003711,0.523553645,1.06E-01
NgamoUrchin Dry 2012,NgamoUrchin,Dry,2012,0.64659965,0.214539211,1.39E-01
NgamoUrchin Dry 2015,NgamoUrchin,Dry,2015,0.656653789,0.136384596,2.07E-01
NgamoUrchin Dry 2016,NgamoUrchin,Dry,2016,0.441420455,0,5.59E-01
NgamoUrchin Wet 2011,NgamoUrchin,Wet,2011,0.729269743,0.216270219,5.45E-02
NgamoUrchin Wet 2012,NgamoUrchin,Wet,2012,0.607976402,0.331959038,6.01E-02
NgamoUrchin Wet 2015,NgamoUrchin,Wet,2015,0.628583834,0.198438544,1.73E-01
NgamoUrchin Wet 2016,NgamoUrchin,Wet,2016,0.528506909,0.089000309,3.82E-01
OldGuvalala Dry 2009,OldGuvalala,Dry,2009,0.867298364,0.132701636,0.00E+00
OldGuvalala Dry 2010,OldGuvalala,Dry,2010,0.738977667,0.248792642,1.22E-02
OldGuvalala Dry 2011,OldGuvalala,Dry,2011,0.899913219,0.099702991,3.84E-04
OldGuvalala Dry 2013,OldGuvalala,Dry,2013,0.998995664,0.001004336,0.00E+00
OldGuvalala Wet 2010,OldGuvalala,Wet,2010,0.752115089,0.247694166,1.91E-04
OldGuvalala Wet 2011,OldGuvalala,Wet,2011,0.991793492,0.008206508,0.00E+00
OldGuvalala Wet 2014,OldGuvalala,Wet,2014,0.911827042,0.088172958,0.00E+00
Raah Dry 2012,Raah,Dry,2012,0.612613169,0.249010059,1.38E-01
Raah Dry 2013,Raah,Dry,2013,0.473970292,0.451487915,7.45E-02
Raah Wet 2012,Raah,Wet,2012,0.593965736,0.349763642,5.63E-02
Raah Wet 2013,Raah,Wet,2013,0.482666954,0.422190558,9.51E-02
SpiceJunior Dry 2011,SpiceJunior,Dry,2011,1,0,0.00E+00
SpiceJunior Dry 2013,SpiceJunior,Dry,2013,0.986704862,0.013018864,2.76E-04
SpiceJunior Wet 2012,SpiceJunior,Wet,2012,1,0,0.00E+00
SpiceJunior Wet 2013,SpiceJunior,Wet,2013,0.988663063,0.000701256,1.06E-02
SpiceJunior Wet 2014,SpiceJunior,Wet,2014,1,0,0.00E+00
SpiceJunior Wet 2015,SpiceJunior,Wet,2015,1,0,0.00E+00
Tommy Dry 2011,Tommy,Dry,2011,0.659665321,0.340334679,0.00E+00
Tommy Dry 2012,Tommy,Dry,2012,1,0,0.00E+00
Tommy Dry 2015,Tommy,Dry,2015,0.628694266,0.371264077,4.17E-05
Tommy Wet 2011,Tommy,Wet,2011,0.695665093,0.304334907,0.00E+00
Tommy Wet 2012,Tommy,Wet,2012,0.805935076,0.194064924,0.00E+00
Tommy Wet 2013,Tommy,Wet,2013,0.994044956,0.005955045,0.00E+00
Tommy Wet 2015,Tommy,Wet,2015,0.453623699,0.536812583,9.56E-03
Tommy Wet 2016,Tommy,Wet,2016,0.151063081,0.809322066,3.96E-02
Vanilla Dry 2012,Vanilla,Dry,2012,0.709854199,0.20655138,8.36E-02
Vanilla Dry 2013,Vanilla,Dry,2013,0.636856025,0.278535084,8.46E-02
Vanilla Wet 2012,Vanilla,Wet,2012,0.539608356,0.34701302,1.13E-01
Vanilla Wet 2013,Vanilla,Wet,2013,0.624033277,0.205657131,1.70E-01
Vanilla Wet 2014,Vanilla,Wet,2014,0.68391973,0.213434921,1.03E-01
Vundhla Dry 2011,Vundhla,Dry,2011,1,0,0.00E+00
Vundhla Dry 2012,Vundhla,Dry,2012,1,0,0.00E+00
Vundhla Wet 2012,Vundhla,Wet,2012,1,0,0.00E+00
Vundhla Wet 2013,Vundhla,Wet,2013,0.8743,0.1257,0.00E+00
